Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2018-05-29,Mozambique,Comoros,3,0,COSAFA Cup,South Africa,+13,-13,1310,1030
2018-05-29,Panama,Northern Ireland,0,0,Friendly,Panama,-2,+2,1665,1687
2018-05-29,Peru,Scotland,2,0,Friendly,Peru,+5,-5,1912,1714
2018-05-30,Angola,Mauritius,1,0,COSAFA Cup,South Africa,+13,-13,1255,1094
2018-05-30,Austria,Russia,1,0,Friendly,Austria,+6,-6,1731,1679
2018-05-30,Botswana,Malawi,1,1,COSAFA Cup,South Africa,-1,+1,1296,1279
2018-05-30,Central African Republic,Uganda,1,0,Friendly tournament,Niger,+21,-21,1337,1436
2018-05-30,Estonia,Lithuania,2,0,Baltic Cup,Estonia,+11,-11,1515,1401
2018-05-30,Japan,Ghana,0,2,Friendly,Japan,-22,+22,1670,1639
2018-05-31,Luxembourg,Senegal,0,0,Friendly,Luxembourg,+7,-7,1333,1739
2018-05-31,Madagascar,Comoros,1,0,COSAFA Cup,South Africa,+5,-5,1364,1025
2018-05-31,Morocco,Ukraine,0,0,Friendly,Switzerland,+1,-1,1712,1741
2018-05-31,Mozambique,Seychelles,2,1,COSAFA Cup,South Africa,+5,-5,1315,964
2018-05-31,Romania,Chile,3,2,Friendly,Austria,+14,-14,1720,1860
2018-05-31,Slovakia,Netherlands,1,1,Friendly,Slovakia,+1,-1,1763,1906
2018-06-01,Algeria,Cape Verde,2,3,Friendly,Algeria,-15,+15,1509,1443
2018-06-01,Angola,Malawi,0,0,COSAFA Cup,South Africa,+1,-1,1256,1278
2018-06-01,Australia,Czechia,4,0,Friendly,Austria,+19,-19,1732,1703
2018-06-01,Botswana,Mauritius,6,0,COSAFA Cup,South Africa,+20,-20,1316,1074
2018-06-01,Colombia,Egypt,0,0,Friendly,Italy,-7,+7,1928,1647
2018-06-01,France,Italy,3,1,Friendly,France,+8,-8,1994,1893
2018-06-01,Georgia,Malta,1,0,Friendly,Austria,+3,-3,1507,1205
2018-06-01,India,Taiwan,5,0,Friendly tournament,India,+11,-11,1159,985
2018-06-01,South Korea,Bosnia and Herzegovina,1,3,Friendly,South Korea,-20,+20,1730,1744
2018-06-01,Tunisia,Turkey,2,2,Friendly,Switzerland,+2,-2,1658,1727
2018-06-02,Austria,Germany,2,1,Friendly,Austria,+16,-16,1747,2076
2018-06-02,Belgium,Portugal,0,0,Friendly,Belgium,-2,+2,1927,1968
2018-06-02,El Salvador,Honduras,1,0,Friendly,the United States,+14,-14,1471,1590
2018-06-02,England,Nigeria,2,1,Friendly,England,+2,-2,1943,1694
2018-06-02,Iceland,Norway,2,3,Friendly,Iceland,-17,+17,1770,1630
2018-06-02,Ireland,United States,2,1,Friendly,Ireland,+8,-8,1728,1756
2018-06-02,Kenya,New Zealand,2,1,Friendly tournament,India,+21,-21,1388,1493
2018-06-02,Latvia,Estonia,1,0,Baltic Cup,Latvia,+18,-18,1361,1497
2018-06-02,Lesotho,Eswatini,1,0,COSAFA Cup,South Africa,+23,-23,1281,1292
2018-06-02,Mexico,Scotland,1,0,Friendly,Mexico,+4,-4,1861,1710
2018-06-02,Montenegro,Slovenia,0,2,Friendly,Montenegro,-20,+20,1595,1626
2018-06-02,Namibia,Zambia,0,0,COSAFA Cup,South Africa,+6,-6,1377,1464
2018-06-02,Niger,Uganda,2,1,Friendly tournament,Niger,+17,-17,1309,1419
2018-06-02,Northern Cyprus,Tibet,3,1,World Football Cup,England,+1,-1,1457,630
2018-06-02,Sweden,Denmark,0,0,Friendly,Sweden,-2,+2,1794,1844
2018-06-02,Thailand,China,0,2,Friendly,Thailand,-14,+14,1381,1535
2018-06-03,Andorra,Cape Verde,0,0,Friendly,Portugal,+8,-8,1034,1435
2018-06-03,Barbados,Belize,0,0,Friendly,Barbados,-2,+2,1135,1170
2018-06-03,Botswana,Zimbabwe,1,1,COSAFA Cup,South Africa,+7,-7,1323,1444
2018-06-03,Brazil,Croatia,2,0,Friendly,England,+5,-5,2136,1848
2018-06-03,Costa Rica,Northern Ireland,3,0,Friendly,Costa Rica,+10,-10,1754,1677
2018-06-03,Peru,Saudi Arabia,3,0,Friendly,Switzerland,+5,-5,1917,1587
2018-06-03,South Africa,Madagascar,0,0,COSAFA Cup,South Africa,-14,+14,1546,1378
2018-06-03,Spain,Switzerland,1,1,Friendly,Spain,-6,+6,2042,1885
2018-06-03,Ukraine,Albania,4,1,Friendly,France,+9,-9,1750,1560
2018-06-04,Armenia,Moldova,0,0,Friendly,Austria,-4,+4,1454,1327
2018-06-04,Chile,Serbia,1,0,Friendly,Austria,+7,-7,1867,1764
2018-06-04,India,Kenya,3,0,Friendly tournament,India,+36,-36,1195,1352
2018-06-04,Italy,Netherlands,1,1,Friendly,Italy,-2,+2,1891,1908
2018-06-04,Morocco,Slovakia,2,1,Friendly,Switzerland,+11,-11,1723,1752
2018-06-05,Botswana,Eswatini,2,0,COSAFA Cup,South Africa,+27,-27,1350,1265
2018-06-05,Kazakhstan,Azerbaijan,3,0,Friendly,Kazakhstan,+15,-15,1369,1384
2018-06-05,Lithuania,Latvia,1,1,Baltic Cup,Lithuania,-6,+6,1395,1367
2018-06-05,Luxembourg,Georgia,1,0,Friendly,Luxembourg,+12,-12,1345,1495
2018-06-05,Martinique,French Guiana,3,0,Friendly tournament,Martinique,+16,-16,1438,1359
2018-06-05,New Zealand,Taiwan,1,0,Friendly tournament,India,+2,-2,1495,983
2018-06-05,Romania,Finland,2,0,Friendly,Romania,+7,-7,1727,1597
2018-06-05,Russia,Turkey,1,1,Friendly,Russia,-1,+1,1678,1728
2018-06-05,South Africa,Namibia,4,1,COSAFA Cup,South Africa,+12,-12,1558,1365
2018-06-06,Belarus,Hungary,1,1,Friendly,Belarus,-1,+1,1530,1585
2018-06-06,Belgium,Egypt,3,0,Friendly,Belgium,+4,-4,1931,1643
2018-06-06,Czechia,Nigeria,1,0,Friendly,Austria,+10,-10,1713,1684
2018-06-06,Lesotho,Zimbabwe,0,0,COSAFA Cup,South Africa,+9,-9,1290,1435
2018-06-06,Norway,Panama,1,0,Friendly,Norway,+8,-8,1638,1657
