Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2021-03-29,Zimbabwe,Zambia,0,2,African Nations Cup qualifier,Zimbabwe,-37,+37,1404,1491
2021-03-29,Togo,Kenya,1,2,African Nations Cup qualifier,Togo,-22,+22,1277,1391
2021-03-29,Malawi,Uganda,1,0,African Nations Cup qualifier,Malawi,+23,-23,1351,1460
2021-03-29,Egypt,Comoros,4,0,African Nations Cup qualifier,Egypt,+5,-5,1602,1234
2021-03-29,Democratic Republic of Congo,Gambia,1,0,African Nations Cup qualifier,the Democratic Republic of the Congo,+10,-10,1482,1362
2021-03-29,Burkina Faso,South Sudan,1,0,African Nations Cup qualifier,Burkina Faso,+1,-1,1556,1082
2021-03-29,Angola,Gabon,2,0,African Nations Cup qualifier,Angola,+32,-32,1371,1434
2021-03-29,Algeria,Botswana,5,0,African Nations Cup qualifier,Algeria,+3,-3,1742,1291
2021-03-29,Canada,Cayman Islands,11,0,World Cup qualifier,the United States,+2,-2,1614,908
2021-03-30,Mexico,Costa Rica,1,0,Friendly,Austria,+3,-3,1924,1623
2021-03-30,Ireland,Qatar,1,1,Friendly,Hungary,+1,-1,1614,1646
2021-03-30,Iran,Syria,3,0,Friendly,Iran,+3,-3,1766,1474
2021-03-30,Bahrain,Jordan,1,2,Friendly,Bahrain,-15,+15,1555,1489
2021-03-30,Senegal,Eswatini,1,1,African Nations Cup qualifier,Senegal,-19,+19,1726,1120
2021-03-30,Nigeria,Lesotho,3,0,African Nations Cup qualifier,Nigeria,+4,-4,1689,1291
2021-03-30,Mozambique,Cape Verde,0,1,African Nations Cup qualifier,Mozambique,-17,+17,1258,1447
2021-03-30,Morocco,Burundi,1,0,African Nations Cup qualifier,Morocco,+2,-2,1673,1250
2021-03-30,Madagascar,Niger,0,0,African Nations Cup qualifier,Madagascar,-12,+12,1372,1256
2021-03-30,Ivory Coast,Ethiopia,3,1,African Nations Cup qualifier,Ivory Coast,+6,-6,1638,1330
2021-03-30,Guinea-Bissau,Congo,3,0,African Nations Cup qualifier,Guinea-Bissau,+32,-32,1354,1360
2021-03-30,Central African Republic,Mauritania,0,1,African Nations Cup qualifier,Central African Republic,-25,+25,1310,1378
2021-03-30,Cameroon,Rwanda,0,0,African Nations Cup qualifier,Cameroon,-16,+16,1550,1301
2021-03-30,Saudi Arabia,Palestine,5,0,World Cup and Asian Cup qualifier,Saudi Arabia,+16,-16,1575,1396
2021-03-30,Japan,Mongolia,14,0,World Cup and Asian Cup qualifier,Japan,0,0,1758,730
2021-03-30,Wales,Czechia,1,0,World Cup qualifier,Wales,+12,-12,1845,1769
2021-03-30,Turkey,Latvia,3,3,World Cup qualifier,Turkey,-19,+19,1808,1268
2021-03-30,Slovakia,Russia,2,1,World Cup qualifier,Slovakia,+21,-21,1655,1737
2021-03-30,Montenegro,Norway,0,1,World Cup qualifier,Montenegro,-15,+15,1530,1748
2021-03-30,Luxembourg,Portugal,1,3,World Cup qualifier,Luxembourg,-3,+3,1393,2034
2021-03-30,Gibraltar,Netherlands,0,7,World Cup qualifier,Gibraltar,-1,+1,1089,1955
2021-03-30,Cyprus,Slovenia,1,0,World Cup qualifier,Cyprus,+31,-31,1368,1613
2021-03-30,Croatia,Malta,3,0,World Cup qualifier,Croatia,+1,-1,1835,1227
2021-03-30,Belgium,Belarus,8,0,World Cup qualifier,Belgium,+2,-2,2107,1508
2021-03-30,Azerbaijan,Serbia,1,2,World Cup qualifier,Azerbaijan,-6,+6,1373,1798
2021-03-30,Saint Vincent and the Grenadines,British Virgin Islands,3,0,World Cup qualifier,Curaçao,+3,-3,1171,605
2021-03-30,Guyana,Bahamas,4,0,World Cup qualifier,the Dominican Republic,+11,-11,1207,877
2021-03-30,Grenada,US Virgin Islands,1,0,World Cup qualifier,Grenada,+1,-1,1208,692
2021-03-30,Bermuda,Aruba,5,0,World Cup qualifier,Bermuda,+4,-4,1285,881
2021-03-30,Belize,Turks and Caicos Islands,5,0,World Cup qualifier,the Dominican Republic,+10,-10,1145,779
2021-03-30,Barbados,Anguilla,1,0,World Cup qualifier,the Dominican Republic,+2,-2,1105,548
2021-03-31,Switzerland,Finland,3,2,Friendly,Switzerland,+3,-3,1886,1708
2021-03-31,Sweden,Estonia,1,0,Friendly,Sweden,+1,-1,1840,1361
2021-03-31,Ukraine,Kazakhstan,1,1,World Cup qualifier,Ukraine,-19,+19,1818,1352
2021-03-31,Spain,Kosovo,3,1,World Cup qualifier,Spain,+1,-1,2037,1484
2021-03-31,Scotland,Faroe Islands,4,0,World Cup qualifier,Scotland,+4,-4,1666,1261
2021-03-31,San Marino,Albania,0,2,World Cup qualifier,San Marino,-2,+2,828,1552
2021-03-31,Northern Ireland,Bulgaria,0,0,World Cup qualifier,Northern Ireland,-10,+10,1566,1499
2021-03-31,Moldova,Israel,1,4,World Cup qualifier,Moldova,-13,+13,1209,1592
2021-03-31,Lithuania,Italy,0,2,World Cup qualifier,Lithuania,-2,+2,1359,2008
2021-03-31,Liechtenstein,Iceland,1,4,World Cup qualifier,Liechtenstein,-7,+7,1100,1603
2021-03-31,Greece,Georgia,1,1,World Cup qualifier,Greece,-12,+12,1639,1513
2021-03-31,Germany,North Macedonia,1,2,World Cup qualifier,Germany,-38,+38,1934,1600
2021-03-31,England,Poland,2,1,World Cup qualifier,England,+7,-7,1978,1808
2021-03-31,Bosnia and Herzegovina,France,0,1,World Cup qualifier,Bosnia and Herzegovina,-5,+5,1635,2082
2021-03-31,Austria,Denmark,0,4,World Cup qualifier,Austria,-32,+32,1755,1972
2021-03-31,Armenia,Romania,3,2,World Cup qualifier,Armenia,+20,-20,1579,1646
2021-03-31,Andorra,Hungary,1,4,World Cup qualifier,Andorra,-2,+2,1030,1746
2021-04-28,Sierra Leone,Liberia,0,2,Friendly tournament,Sierra Leone,-30,+30,1322,1359
2021-05-23,Ukraine,Bahrain,1,1,Friendly,Ukraine,-8,+8,1810,1563
2021-05-23,Kuwait,Malaysia,4,1,Friendly,the United Arab Emirates,+9,-9,1406,1193
2021-05-23,Anguilla,US Virgin Islands,1,0,Friendly,the Dominican Republic,+14,-14,562,678
2021-05-24,United Arab Emirates,Jordan,5,1,Friendly,the United Arab Emirates,+16,-16,1451,1473
2021-05-24,Iraq,Tajikistan,0,0,Friendly,Iraq,-9,+9,1628,1248
2021-05-25,Oman,Thailand,1,0,Friendly,the United Arab Emirates,+6,-6,1499,1351
2021-05-25,Afghanistan,Indonesia,3,2,Friendly,the United Arab Emirates,+9,-9,1145,1108
2021-05-27,Turkey,Azerbaijan,2,1,Friendly,Turkey,+1,-1,1809,1372
2021-05-28,Italy,San Marino,7,0,Friendly,Italy,0,0,2008,828
2021-05-28,Bahrain,Malaysia,2,0,Friendly,Bahrain,+2,-2,1565,1191
2021-05-28,Japan,Myanmar,10,0,World Cup and Asian Cup qualifier,Japan,+1,-1,1759,1046
2021-05-29,Tajikistan,Thailand,2,2,Friendly,the United Arab Emirates,+3,-3,1251,1348
2021-05-29,Sweden,Finland,2,0,Friendly,Sweden,+6,-6,1846,1702
2021-05-29,Oman,Indonesia,3,1,Friendly,the United Arab Emirates,+3,-3,1502,1105
2021-05-29,Mexico,Iceland,2,1,Friendly,the United States,+3,-3,1927,1600
2021-05-29,Iraq,Nepal,6,2,Friendly,Iraq,0,0,1628,906
2021-05-29,Afghanistan,Singapore,1,1,Friendly,the United Arab Emirates,0,0,1145,1160
